2025-06-16 09:43:52 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:52 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:43:53 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:53 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:43:54 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:54 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:43:55 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:55 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:43:56 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:56 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:43:57 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:57 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
